;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
649;"LINTFilter;ZINCDruglikeFilter";78.4605;-23.8771;69.5681
637;"LINTFilter;OpreaFilter";78.4605;-23.895;69.5453
735;"OpreaFilter;ZINCDruglikeFilter";78.4605;-23.9128;69.5225
646;"LINTFilter;TiceInsecticidesFilter";78.4605;-23.9486;69.4768
631;"InpharmaticaFilter;ZINCDruglikeFilter";78.4605;-24.0918;69.2944
578;"GSKFilter;MolecularWeightFilter";78.4605;-24.2439;69.1005
607;"HaoFilter;SureChEMBLFilter";78.4605;-24.2506;69.0919
460;"BrenkFilter;HaoFilter";78.4605;-24.32;69.0036
790;"TiceHerbicidesFilter;TiceInsecticidesFilter";78.4605;-24.3423;68.9751
793;"TiceHerbicidesFilter;ZINCDruglikeFilter";78.4605;-24.4184;68.8781
576;"GSKFilter;LipinskiFilter";78.4605;-24.528;68.7384
496;"FAF4DruglikeFilter;REOSFilter";78.4605;-24.5996;68.6472
727;"OpreaFilter;REOSFilter";78.4605;-24.6197;68.6215
726;"OpreaFilter;PfizerFilter";78.4605;-24.7853;68.4105
500;"FAF4DruglikeFilter;SureChEMBLFilter";78.4605;-24.8479;68.3307
406;"BeyondRo5Filter;GSKFilter";78.4605;-24.9329;68.2224
604;"HaoFilter;RuleOfFourFilter";78.4605;-24.9597;68.1882
609;"HaoFilter;TiceInsecticidesFilter";78.4605;-25.1365;67.9629
575;"GSKFilter;LINTFilter";78.4605;-25.2617;67.8033
545;"GhoseFilter;SureChEMBLFilter";78.4605;-25.2684;67.7947
579;"GSKFilter;NIBRFilter";78.4605;-25.3646;67.6721
699;"NIBRFilter;OpreaFilter";78.4605;-25.4384;67.578
468;"BrenkFilter;OpreaFilter";78.4605;-25.4899;67.5125
586;"GSKFilter;RuleOfXuFilter";78.4605;-25.5234;67.4697
731;"OpreaFilter;TiceHerbicidesFilter";78.4605;-25.727;67.2103
502;"FAF4DruglikeFilter;TiceInsecticidesFilter";78.4605;-25.8769;67.0192
533;"GhoseFilter;LINTFilter";78.4605;-26.2527;66.5403
487;"FAF4DruglikeFilter;LINTFilter";78.4605;-26.2862;66.4975
606;"HaoFilter;RuleOfXuFilter";78.4605;-26.2907;66.4918
583;"GSKFilter;PfizerFilter";78.4605;-27.8163;64.5474
541;"GhoseFilter;PfizerFilter";78.4605;-29.286;62.6743
519;"FAF4LeadlikeFilter;PfizerFilter";78.4605;-29.2882;62.6714
674;"MLSMRFilter;RuleOfFourFilter";78.4605;-29.8363;61.9729
771;"RuleOfFourFilter;ZINCDruglikeFilter";78.4605;-31.6638;59.6436
