;Dataset;Model;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
988;esol;SGD;FAF4DruglikeFilter, NIBRFilter;2882780650483.2173;2081011919390.87;72.18766086285639
1277;esol;SGD;PfizerFilter, ValenceDiscoveryFilter;1690648409426.8535;1222155730835.96;72.28917165871778
1225;esol;SGD;NIBRFilter, ValenceDiscoveryFilter;1916596247998.5884;1392077749207.9167;72.63281197913219
990;esol;SGD;FAF4DruglikeFilter, OpreaFilter;1605983858820.7595;1167081813506.2249;72.67083084902166
931;esol;SGD;BMSFilter, LipinskiFilter;2527233820737.0293;1837912172346.1123;72.72426307630346
1061;esol;SGD;GlaxoFilter, NIHFilter;1884597954597.624;1372512649882.5378;72.82787538499582
1018;esol;SGD;FAF4LeadlikeFilter, REOSFilter;1510657689617.138;1101480447648.2092;72.91396689129283
1335;esol;SGD;ValenceDiscoveryFilter, ZINCBasicFilter;1597882348465.394;1165093429931.0205;72.91484451592922
1251;esol;SGD;OpreaFilter, TiceHerbicidesFilter;1403831274087.3735;1024715506400.3116;72.99420701868009
947;esol;SGD;BMSFilter, TiceInsecticidesFilter;1882756133658.8967;1382043934724.11;73.405360897074
1273;esol;SGD;PfizerFilter, RuleOfXuFilter;1712802948450.0586;1261185392303.6235;73.63283636596314
1098;esol;SGD;GSKFilter, ZINCDruglikeFilter;3583679398912.184;2646003754583.296;73.83483453867227
1013;esol;SGD;FAF4LeadlikeFilter, NIBRFilter;1727885010496.3054;1282778288692.036;74.23979494582106
1255;esol;SGD;OpreaFilter, ZINCDruglikeFilter;1574096315315.7063;1173905189590.9282;74.57645241711182
909;esol;SGD;BeyondRo5Filter, PfizerFilter;2406600316273.761;1796360224568.4475;74.64306442666086
1181;esol;SGD;MLSMRFilter, OpreaFilter;1842007448912.992;1375112192747.6968;74.65291161331513
1187;esol;SGD;MLSMRFilter, RuleOfVeberFilter;4040719889230.731;3023052951678.536;74.81471209463278
1323;esol;SGD;SureChEMBLFilter, TiceHerbicidesFilter;1762794579959.617;1319406908081.922;74.84745659429856
907;esol;SGD;BeyondRo5Filter, OpreaFilter;2897176613759.285;2168794998805.21;74.85891569416783
1046;esol;SGD;GhoseFilter, RuleOfXuFilter;1898063527038.9685;1421704952099.9924;74.90291720203335
1320;esol;SGD;RuleOfXuFilter, ValenceDiscoveryFilter;1731048639633.3137;1297716340824.0774;74.96706395835136
1235;esol;SGD;NIHFilter, RuleOfVeberFilter;1932198328365.12;1451289648118.1748;75.11080135061219
1211;esol;SGD;MolecularWeightFilter, ZINCDruglikeFilter;2519584225073.1924;1895317144603.6123;75.22340891575293
1122;esol;SGD;InpharmaticaFilter, MLSMRFilter;2553835270855.6934;1922924015616.0933;75.29553834424858
957;esol;SGD;BrenkFilter, InpharmaticaFilter;2612167705187.614;1971506096601.568;75.47394804270304
1189;esol;SGD;MLSMRFilter, SureChEMBLFilter;2805055969712.692;2117992045533.992;75.50623119120606
1197;esol;SGD;MolecularWeightFilter, OpreaFilter;1467461349796.8723;1113114779339.3848;75.85309006560638
1144;esol;SGD;LINTFilter, NIHFilter;2936375449396.199;2234322962394.072;76.09118795941136
1094;esol;SGD;GSKFilter, TiceHerbicidesFilter;1608659274640.672;1224402840381.6316;76.11324906917456
1327;esol;SGD;SureChEMBLFilter, ZINCDruglikeFilter;2603651232084.934;1988834294007.4473;76.38635580291765
987;esol;SGD;FAF4DruglikeFilter, MolecularWeightFilter;2511649098872.379;1932594497684.526;76.9452428108758
1119;esol;SGD;HaoFilter, ZINCDruglikeFilter;1663089052320.0847;1279956327288.85;76.96258510650725
1050;esol;SGD;GhoseFilter, ValenceDiscoveryFilter;1513744091325.049;1165059036594.7324;76.96538954447071
1146;esol;SGD;LINTFilter, PAINSFilter;2972687201713.0728;2293830418837.2046;77.16353128291928
901;esol;SGD;BeyondRo5Filter, LINTFilter;3258485985126.4097;2523068458078.1987;77.43069847760351
1051;esol;SGD;GhoseFilter, ZINCBasicFilter;1717080025448.6714;1330270753736.7563;77.47284541319837
1236;esol;SGD;NIHFilter, RuleOfXuFilter;2423157696575.0503;1877670724139.508;77.48858965280935
1245;esol;SGD;OpreaFilter, REOSFilter;1736293951784.163;1350768390152.2317;77.79606608456034
935;esol;SGD;BMSFilter, NIHFilter;1627559685750.7112;1272204280027.1697;78.16636717936191
