;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
1516;GlaxoFilter, RuleOfXuFilter;1.2516;1.8656;149.0516296942834
1575;InpharmaticaFilter, REOSFilter;1.2556;1.873;149.16981464632622
1682;NIHFilter, RuleOfXuFilter;1.2085;1.8056;149.41294819740364
1503;GlaxoFilter, LipinskiFilter;0.9938;1.491;150.03858792046728
1584;InpharmaticaFilter, ZINCBasicFilter;1.1602;1.742;150.14156013553017
1767;RuleOfXuFilter, ZINCBasicFilter;1.2197;1.8314;150.1494791306722
1681;NIHFilter, RuleOfVeberFilter;1.0712;1.6112;150.4007102909121
1688;NIHFilter, ZINCDruglikeFilter;1.0528;1.5899;151.0078812952369
1696;OpreaFilter, SureChEMBLFilter;1.198;1.81;151.08332272825103
1396;BMSFilter, ZINCDruglikeFilter;1.0545;1.5945;151.20766131551875
1560;HaoFilter, SureChEMBLFilter;1.0395;1.5737;151.39060545254958
1658;NIBRFilter, NIHFilter;1.2137;1.8379;151.43241692731272
1756;RuleOfVeberFilter, RuleOfXuFilter;1.2057;1.826;151.4530617172888
1521;GlaxoFilter, ZINCBasicFilter;1.073;1.6254;151.48531660716205
1546;HaoFilter, LINTFilter;1.1286;1.7218;152.5555841120915
1380;BMSFilter, NIBRFilter;1.2124;1.8508;152.65570856802566
1507;GlaxoFilter, NIHFilter;1.056;1.6148;152.9145793205663
1443;FAF4DruglikeFilter, RuleOfXuFilter;1.1623;1.7827;153.38239342970888
1500;GlaxoFilter, HaoFilter;1.0132;1.5569;153.6572764287084
1372;BMSFilter, GlaxoFilter;1.0524;1.6208;154.01645935908576
1447;FAF4DruglikeFilter, ValenceDiscoveryFilter;1.2372;1.9092;154.3236154829506
1484;GhoseFilter, NIHFilter;1.1136;1.7208;154.52286586980733
1508;GlaxoFilter, OpreaFilter;1.1717;1.8116;154.61841809733085
1617;LipinskiFilter, RuleOfXuFilter;1.2131;1.8759;154.63568321248414
1478;GhoseFilter, InpharmaticaFilter;1.0806;1.6727;154.79371760005955
1659;NIBRFilter, OpreaFilter;1.2022;1.8632;154.97560716631307
1585;InpharmaticaFilter, ZINCDruglikeFilter;1.0989;1.7123;155.82455611106502
1381;BMSFilter, NIHFilter;1.0743;1.675;155.91408493705862
1371;BMSFilter, GhoseFilter;1.1104;1.7319;155.97385650323142
1379;BMSFilter, MolecularWeightFilter;1.071;1.6749;156.37623457173225
1641;MolecularWeightFilter, NIBRFilter;1.1614;1.8164;156.40678863168992
1687;NIHFilter, ZINCBasicFilter;1.1012;1.7265;156.7801376722676
1642;MolecularWeightFilter, NIHFilter;1.0618;1.6681;157.10362144562458
1395;BMSFilter, ZINCBasicFilter;1.1011;1.7309;157.19467991054177
1374;BMSFilter, HaoFilter;1.0554;1.6607;157.35119738739084
1660;NIBRFilter, PAINSFilter;1.1468;1.8047;157.367640487508
1671;NIBRFilter, ValenceDiscoveryFilter;1.178;1.8559;157.5534749697586
1551;HaoFilter, NIHFilter;1.0487;1.659;158.20420859907873
1352;BeyondRo5Filter, NIHFilter;1.0436;1.6527;158.3629749530332
1753;RuleOfTwoFilter, TiceInsecticidesFilter;1.4864;2.3606;158.81024089343475
1662;NIBRFilter, REOSFilter;1.186;1.8843;158.8759496095933
1383;BMSFilter, PAINSFilter;1.0504;1.6732;159.28039902061778
1766;RuleOfXuFilter, ValenceDiscoveryFilter;1.2391;1.9754;159.42050679744978
1672;NIBRFilter, ZINCBasicFilter;1.1633;1.8578;159.70404664457823
1655;MolecularWeightFilter, ValenceDiscoveryFilter;1.1616;1.8572;159.8889724306704
1338;BeyondRo5Filter, BMSFilter;1.0351;1.6641;160.7676285199004
1768;RuleOfXuFilter, ZINCDruglikeFilter;1.1925;1.9175;160.79958637913626
1782;ValenceDiscoveryFilter, ZINCDruglikeFilter;1.1263;1.8122;160.90324476178012
1780;TiceInsecticidesFilter, ZINCDruglikeFilter;1.1254;1.8116;160.98134862583169
1621;LipinskiFilter, ValenceDiscoveryFilter;1.1529;1.8561;160.99992245772648
1520;GlaxoFilter, ValenceDiscoveryFilter;1.1112;1.7902;161.10186109667816
1377;BMSFilter, LipinskiFilter;1.0373;1.6735;161.33131867727747
1483;GhoseFilter, NIBRFilter;1.1143;1.8009;161.61731375240154
1608;LipinskiFilter, NIHFilter;1.0372;1.6778;161.75851774898936
1675;NIHFilter, PAINSFilter;1.0253;1.6632;162.21866912313052
1630;MLSMRFilter, REOSFilter;1.2321;2.0026;162.53892344295383
1545;HaoFilter, InpharmaticaFilter;1.0709;1.7423;162.6889541659543
1616;LipinskiFilter, RuleOfVeberFilter;1.1415;1.8577;162.74208842273254
1622;LipinskiFilter, ZINCBasicFilter;1.0546;1.7263;163.69225312872945
1712;PAINSFilter, ValenceDiscoveryFilter;1.148;1.8847;164.1693617661576
1760;RuleOfVeberFilter, ValenceDiscoveryFilter;1.1112;1.832;164.86996457442004
1365;BeyondRo5Filter, ValenceDiscoveryFilter;1.1177;1.8431;164.904547001604
1475;GhoseFilter, GlaxoFilter;1.0347;1.7074;165.0118074304386
1781;ValenceDiscoveryFilter, ZINCBasicFilter;1.1151;1.8403;165.03888934028424
1564;HaoFilter, ZINCBasicFilter;1.0722;1.7696;165.04363459463804
1496;GhoseFilter, ValenceDiscoveryFilter;1.1108;1.8367;165.35208836724436
1601;LINTFilter, TiceInsecticidesFilter;1.1017;1.8307;166.1778886068516
1493;GhoseFilter, SureChEMBLFilter;1.0128;1.6879;166.65911451549232
1550;HaoFilter, NIBRFilter;1.1186;1.8649;166.72313018190698
1591;LINTFilter, OpreaFilter;1.083;1.8082;166.96276739386738
1732;REOSFilter, ValenceDiscoveryFilter;1.0851;1.8174;167.48499558913065
1399;BrenkFilter, GhoseFilter;1.0444;1.7508;167.64288518906258
1353;BeyondRo5Filter, OpreaFilter;1.1039;1.8506;167.64760101595562
1713;PAINSFilter, ZINCBasicFilter;1.0758;1.8049;167.77263118852267
1345;BeyondRo5Filter, HaoFilter;1.065;1.7868;167.77432022128832
1686;NIHFilter, ValenceDiscoveryFilter;1.0574;1.7761;167.97215983383228
1558;HaoFilter, RuleOfVeberFilter;1.061;1.7881;168.53534105946213
1481;GhoseFilter, MLSMRFilter;1.0988;1.8527;168.61341764782372
1689;OpreaFilter, PAINSFilter;1.0941;1.8454;168.6748179838417
1549;HaoFilter, MolecularWeightFilter;1.0611;1.7912;168.80366848568272
1547;HaoFilter, LipinskiFilter;1.0589;1.7918;169.20993163294574
1695;OpreaFilter, RuleOfXuFilter;1.1011;1.8669;169.5438971856674
1650;MolecularWeightFilter, RuleOfVeberFilter;1.1304;1.9193;169.78775833554386
1446;FAF4DruglikeFilter, TiceInsecticidesFilter;1.0622;1.8074;170.15046002422528
1643;MolecularWeightFilter, OpreaFilter;1.0966;1.8671;170.26242803688353
1394;BMSFilter, ValenceDiscoveryFilter;1.0393;1.7767;170.94893592607582
1729;REOSFilter, SureChEMBLFilter;1.0886;1.8652;171.34545870615307
1778;TiceInsecticidesFilter, ValenceDiscoveryFilter;1.0597;1.8336;173.0315030041599
1442;FAF4DruglikeFilter, RuleOfVeberFilter;1.1187;1.9375;173.197211890607
1397;BrenkFilter, FAF4DruglikeFilter;1.0815;1.8912;174.8607560223667
1609;LipinskiFilter, OpreaFilter;1.0838;1.8964;174.9792594855265
1428;FAF4DruglikeFilter, HaoFilter;1.0758;1.8831;175.03864336077604
1656;MolecularWeightFilter, ZINCBasicFilter;1.0927;1.9127;175.04450934531175
1433;FAF4DruglikeFilter, MolecularWeightFilter;1.0838;1.8995;175.2570362104403
1552;HaoFilter, OpreaFilter;1.0481;1.8393;175.47840496204208
1401;BrenkFilter, GSKFilter;1.0742;1.8893;175.87783610417034
1494;GhoseFilter, TiceHerbicidesFilter;1.1509;2.0285;176.25805388709242
1700;OpreaFilter, ZINCBasicFilter;1.0548;1.8618;176.51029418381046
1431;FAF4DruglikeFilter, LipinskiFilter;1.0739;1.9001;176.93511545993502
1366;BeyondRo5Filter, ZINCBasicFilter;1.0767;1.9122;177.60246629653508
1449;FAF4DruglikeFilter, ZINCDruglikeFilter;1.1178;1.9857;177.63898435092207
1707;PAINSFilter, RuleOfVeberFilter;1.0674;1.8968;177.70897477585157
1450;FAF4LeadlikeFilter, GhoseFilter;1.1147;1.9837;177.95817395913915
1340;BeyondRo5Filter, FAF4DruglikeFilter;1.0859;1.9362;178.30835134338088
1553;HaoFilter, PAINSFilter;1.0291;1.8362;178.42057121029393
1498;GhoseFilter, ZINCDruglikeFilter;1.1424;2.0396;178.5312540623352
1429;FAF4DruglikeFilter, InpharmaticaFilter;1.0447;1.8704;179.03903763504906
1469;FAF4LeadlikeFilter, SureChEMBLFilter;1.021;1.8324;179.4691505632902
1703;PAINSFilter, REOSFilter;1.1894;2.1346;179.47357266204926
1759;RuleOfVeberFilter, TiceInsecticidesFilter;1.04;1.8721;180.00369554338334
1360;BeyondRo5Filter, RuleOfVeberFilter;1.1297;2.0342;180.06781723989263
1761;RuleOfVeberFilter, ZINCBasicFilter;1.0688;1.9389;181.4107958157309
1434;FAF4DruglikeFilter, NIBRFilter;1.0181;1.8514;181.84951852573025
1426;FAF4DruglikeFilter, GlaxoFilter;1.0617;1.9349;182.24170159085546
1627;MLSMRFilter, OpreaFilter;1.0748;1.96;182.35408882544914
1439;FAF4DruglikeFilter, REOSFilter;1.1203;2.0475;182.76166013484115
1425;FAF4DruglikeFilter, GhoseFilter;1.0863;1.9918;183.3599802450898
1435;FAF4DruglikeFilter, NIHFilter;1.0855;1.9947;183.75756939875686
1527;GSKFilter, MLSMRFilter;0.9838;1.8094;183.91906969726705
1534;GSKFilter, REOSFilter;1.0916;2.0111;184.23615584886136
1727;REOSFilter, RuleOfVeberFilter;1.1395;2.1002;184.31665294857163
1492;GhoseFilter, RuleOfXuFilter;1.0523;1.9403;184.37952064243092
1511;GlaxoFilter, REOSFilter;1.1185;2.0624;184.38953380681787
1437;FAF4DruglikeFilter, PAINSFilter;1.0628;1.9602;184.4381498453875
1542;GSKFilter, ValenceDiscoveryFilter;1.0752;1.9846;184.58704020026437
1444;FAF4DruglikeFilter, SureChEMBLFilter;0.9611;1.7752;184.69407567734447
1654;MolecularWeightFilter, TiceInsecticidesFilter;1.0263;1.8964;184.78991941344842
1364;BeyondRo5Filter, TiceInsecticidesFilter;1.0271;1.8984;184.8338755666423
1594;LINTFilter, REOSFilter;1.1398;2.1089;185.02114839661644
1694;OpreaFilter, RuleOfVeberFilter;1.0244;1.8978;185.2648891263285
1369;BMSFilter, FAF4DruglikeFilter;1.0827;2.0067;185.33459376680634
1620;LipinskiFilter, TiceInsecticidesFilter;1.0223;1.8966;185.5169295872123
1413;BrenkFilter, REOSFilter;1.0363;1.9267;185.92014192212832
1491;GhoseFilter, RuleOfVeberFilter;1.0537;1.963;186.29360966359522
1734;REOSFilter, ZINCDruglikeFilter;1.1477;2.1401;186.47125409349755
1342;BeyondRo5Filter, GhoseFilter;1.0878;2.0366;187.23204691087528
1414;BrenkFilter, RuleOfThreeFilter;1.1092;2.079;187.4243205434516
1677;NIHFilter, REOSFilter;1.0116;1.8967;187.50057904009546
1770;SureChEMBLFilter, TiceInsecticidesFilter;1.035;1.9415;187.58038392282248
1728;REOSFilter, RuleOfXuFilter;1.0948;2.0579;187.9723006369123
1646;MolecularWeightFilter, REOSFilter;1.1516;2.1679;188.2425117034415
1356;BeyondRo5Filter, REOSFilter;1.1288;2.1267;188.40773130814756
1612;LipinskiFilter, REOSFilter;1.1492;2.1715;188.94828838512709
1600;LINTFilter, TiceHerbicidesFilter;1.1624;2.1966;188.97200242479917
1482;GhoseFilter, MolecularWeightFilter;1.0788;2.0391;189.02226458997853
1480;GhoseFilter, LipinskiFilter;1.0778;2.0378;189.07901576778278
1385;BMSFilter, REOSFilter;1.0026;1.8961;189.12056929398193
1525;GSKFilter, LINTFilter;0.9954;1.885;189.36436406061102
1448;FAF4DruglikeFilter, ZINCBasicFilter;1.0686;2.0329;190.23380037672334
1711;PAINSFilter, TiceInsecticidesFilter;0.9806;1.866;190.2992393159572
