;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
907;TiceInsecticidesFilter, ZINCBasicFilter;1.0169;0.9715;95.53550107106182
641;GlaxoFilter, ZINCBasicFilter;1.0169;0.973;95.67408269703861
765;MolecularWeightFilter, NIBRFilter;1.0169;0.9736;95.73836120480162
828;PAINSFilter, REOSFilter;1.0169;0.9749;95.86700013941969
707;InpharmaticaFilter, ZINCDruglikeFilter;1.0169;0.9753;95.89970620417321
731;LipinskiFilter, NIHFilter;1.0169;0.9775;96.12067860226176
495;BMSFilter, LipinskiFilter;1.0169;0.9775;96.12067860226176
636;GlaxoFilter, RuleOfXuFilter;1.0169;0.9786;96.22556210692534
540;BrenkFilter, ValenceDiscoveryFilter;1.0169;0.9788;96.24583069117728
893;RuleOfXuFilter, TiceInsecticidesFilter;1.0169;0.9793;96.29416404004198
794;NIBRFilter, TiceInsecticidesFilter;1.0169;0.9805;96.41263765110443
482;BeyondRo5Filter, TiceInsecticidesFilter;1.0169;0.9805;96.41968820306589
743;LipinskiFilter, TiceInsecticidesFilter;1.0169;0.9805;96.41968820306589
778;MolecularWeightFilter, TiceInsecticidesFilter;1.0169;0.9805;96.41968820306589
729;LipinskiFilter, MolecularWeightFilter;1.0169;0.9806;96.42239710044845
811;NIHFilter, ZINCBasicFilter;1.0169;0.9809;96.4546365605552
513;BMSFilter, ZINCBasicFilter;1.0169;0.9809;96.4546365605552
836;PAINSFilter, TiceInsecticidesFilter;1.0169;0.9812;96.48193582650612
745;LipinskiFilter, ZINCBasicFilter;1.0169;0.9814;96.50756932597116
526;BrenkFilter, NIBRFilter;1.0169;0.9817;96.53338436150906
797;NIBRFilter, ZINCDruglikeFilter;1.0169;0.9825;96.61097308983567
566;FAF4DruglikeFilter, TiceInsecticidesFilter;1.0169;0.9825;96.61325505113223
704;InpharmaticaFilter, TiceInsecticidesFilter;1.0169;0.9826;96.62309228498015
696;InpharmaticaFilter, REOSFilter;1.0169;0.9828;96.63865987590971
700;InpharmaticaFilter, RuleOfVeberFilter;1.0169;0.9829;96.64767955292581
521;BrenkFilter, InpharmaticaFilter;1.0169;0.9829;96.6564182833034
615;GhoseFilter, TiceInsecticidesFilter;1.0169;0.9833;96.6905561555685
887;RuleOfVeberFilter, TiceInsecticidesFilter;1.0169;0.9834;96.698192964286
621;GlaxoFilter, InpharmaticaFilter;1.0169;0.9851;96.8722719269529
461;BeyondRo5Filter, GlaxoFilter;1.0169;0.9853;96.8921837764163
539;BrenkFilter, TiceInsecticidesFilter;1.0169;0.9855;96.91041993763776
525;BrenkFilter, MolecularWeightFilter;1.0169;0.9858;96.93503482918344
531;BrenkFilter, REOSFilter;1.0169;0.9864;96.99269211507693
776;MolecularWeightFilter, SureChEMBLFilter;1.0169;0.9873;97.08450842150877
596;GhoseFilter, GSKFilter;1.0169;0.9877;97.12707376357025
486;BMSFilter, BrenkFilter;1.0169;0.9881;97.16348898269261
527;BrenkFilter, NIHFilter;1.0169;0.9881;97.16348898269261
627;GlaxoFilter, NIHFilter;1.0169;0.9882;97.17269886731181
490;BMSFilter, GlaxoFilter;1.0169;0.9882;97.17269886731181
523;BrenkFilter, LipinskiFilter;1.0169;0.9884;97.18979829414127
618;GhoseFilter, ZINCDruglikeFilter;1.0169;0.9891;97.25899727721402
514;BMSFilter, ZINCDruglikeFilter;1.0169;0.9892;97.2714574026979
812;NIHFilter, ZINCDruglikeFilter;1.0169;0.9892;97.2714574026979
604;GhoseFilter, NIHFilter;1.0169;0.9896;97.30699965780302
489;BMSFilter, GhoseFilter;1.0169;0.9896;97.30699965780302
853;REOSFilter, RuleOfVeberFilter;1.0169;0.9896;97.31069288632163
501;BMSFilter, PAINSFilter;1.0169;0.9902;97.36498774770249
799;NIHFilter, PAINSFilter;1.0169;0.9902;97.36498774770249
790;NIBRFilter, RuleOfVeberFilter;1.0169;0.9904;97.38902762984165
859;REOSFilter, ZINCBasicFilter;1.0169;0.9907;97.41697345907431
