;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
1010;FAF4LeadlikeFilter, LipinskiFilter;2305110928917.331;2591387799321.4795;112.41922316244484
1062;GlaxoFilter, OpreaFilter;1701324406207.5688;1912634236443.005;112.42031381342892
954;BrenkFilter, GlaxoFilter;2253877606881.595;2544766507081.7656;112.90615334710373
1004;FAF4LeadlikeFilter, GhoseFilter;1599669589084.7305;1808114490007.8604;113.03049719426086
949;BMSFilter, ZINCBasicFilter;1628939271164.8022;1846852133226.344;113.37759276352391
1080;GSKFilter, LipinskiFilter;1993241247051.604;2273831724690.699;114.07709568794763
1142;LINTFilter, MolecularWeightFilter;2942910931415.868;3418441949340.976;116.15852565732678
983;FAF4DruglikeFilter, InpharmaticaFilter;2331696591911.6;2719866929389.9067;116.64754920622293
1101;HaoFilter, LipinskiFilter;2742017949178.211;3206202039407.822;116.92855768390311
1163;LipinskiFilter, OpreaFilter;1220115202292.123;1427277946959.5515;116.97894955150548
1191;MLSMRFilter, TiceInsecticidesFilter;1484361538870.47;1737439267036.5017;117.0496015653041
1162;LipinskiFilter, NIHFilter;1650479026355.6538;1947358891171.4536;117.98749696755169
999;FAF4DruglikeFilter, TiceHerbicidesFilter;1856918082498.1104;2203098843810.247;118.64275891192895
1252;OpreaFilter, TiceInsecticidesFilter;1325207704680.6694;1582054646526.828;119.38163662488289
1088;GSKFilter, REOSFilter;1284163878120.1768;1533379660272.227;119.40685191339169
1103;HaoFilter, MolecularWeightFilter;3301731247238.903;3943381204001.76;119.43374274630744
900;BeyondRo5Filter, InpharmaticaFilter;3411796114064.276;4077490186203.18;119.51154318380127
1114;HaoFilter, SureChEMBLFilter;1937467953835.587;2365116455410.9966;122.07254580540534
898;BeyondRo5Filter, GSKFilter;3357349674033.804;4106447958088.1846;122.3121913647544
1153;LINTFilter, SureChEMBLFilter;2598987136451.344;3191913972155.874;122.81376569312737
1113;HaoFilter, RuleOfXuFilter;1617569484785.0398;2007253839204.6548;124.0907335409706
1093;GSKFilter, SureChEMBLFilter;3039361805616.054;3779975307079.8745;124.36740173859306
948;BMSFilter, ValenceDiscoveryFilter;1664305790626.5862;2076320475458.682;124.75594852535954
913;BeyondRo5Filter, RuleOfTwoFilter;3668667529841.1406;4589028563301.33;125.08706569821119
1001;FAF4DruglikeFilter, ValenceDiscoveryFilter;1455640175840.416;1825118909327.16;125.38255948269803
1286;REOSFilter, ValenceDiscoveryFilter;1406292457604.1597;1768353816408.675;125.74580819563974
1027;FAF4LeadlikeFilter, ZINCBasicFilter;2457241677857.072;3099954357509.712;126.15585945185259
1124;InpharmaticaFilter, NIBRFilter;1871426064069.775;2364484317161.63;126.34665951053418
967;BrenkFilter, REOSFilter;1399131122622.7402;1784770763316.4958;127.56279482732506
1165;LipinskiFilter, PfizerFilter;1283995109127.026;1643309233565.4255;127.98407267163918
953;BrenkFilter, GhoseFilter;1780061237356.9614;2280326225639.9263;128.10380776707206
1185;MLSMRFilter, RuleOfThreeFilter;2239371677935.452;2887790124372.4683;128.95537408219852
906;BeyondRo5Filter, NIHFilter;2121442203974.1423;2749293603150.8623;129.59549866598076
1281;REOSFilter, RuleOfVeberFilter;2345094362767.593;3042551599526.4424;129.74111608608092
1248;OpreaFilter, RuleOfVeberFilter;1788650647032.2903;2333279065919.196;130.44912206811023
1259;PAINSFilter, RuleOfThreeFilter;3145957734341.0293;4117162940930.0415;130.87152748390142
1246;OpreaFilter, RuleOfThreeFilter;1444651154209.241;1914447805612.7969;132.51972976553697
992;FAF4DruglikeFilter, PfizerFilter;2742658151252.1377;3641408001103.172;132.76929898976718
1172;LipinskiFilter, SureChEMBLFilter;1734656669610.373;2306386281625.667;132.95923752702672
1089;GSKFilter, RuleOfThreeFilter;3536831874664.3174;4712005616377.054;133.2267346415575
