;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
11;BeyondRo5Filter, MLSMRFilter;0.8209;0.882;107.43310011011008
166;GlaxoFilter, LINTFilter;0.8209;0.882;107.44033842864712
307;MLSMRFilter, ZINCBasicFilter;0.8209;0.8821;107.44810383027654
292;MLSMRFilter, NIBRFilter;0.8209;0.8825;107.49894795011008
272;LipinskiFilter, MLSMRFilter;0.8209;0.8826;107.51584007706516
59;BrenkFilter, FAF4DruglikeFilter;0.8209;0.8829;107.54395570561512
399;REOSFilter, SureChEMBLFilter;0.8209;0.883;107.5628831812423
338;NIBRFilter, TiceInsecticidesFilter;0.8209;0.8839;107.67450316444052
92;FAF4DruglikeFilter, InpharmaticaFilter;0.8209;0.8842;107.70126404496136
183;GlaxoFilter, TiceInsecticidesFilter;0.8209;0.8842;107.7079412706156
431;RuleOfVeberFilter, TiceInsecticidesFilter;0.8209;0.8846;107.75994182930167
271;LINTFilter, ZINCDruglikeFilter;0.8209;0.8847;107.76132681451082
451;TiceInsecticidesFilter, ZINCBasicFilter;0.8209;0.8848;107.77634171789276
295;MLSMRFilter, PAINSFilter;0.8209;0.8848;107.78201425569343
102;FAF4DruglikeFilter, REOSFilter;0.8209;0.8856;107.87393603755027
26;BeyondRo5Filter, TiceInsecticidesFilter;0.8209;0.886;107.92305815188452
287;LipinskiFilter, TiceInsecticidesFilter;0.8209;0.886;107.92305815188452
322;MolecularWeightFilter, TiceInsecticidesFilter;0.8209;0.886;107.92305815188452
293;MLSMRFilter, NIHFilter;0.8209;0.8862;107.94300607101299
40;BMSFilter, MLSMRFilter;0.8209;0.8862;107.94300607101299
308;MLSMRFilter, ZINCDruglikeFilter;0.8209;0.8862;107.95394388680224
303;MLSMRFilter, SureChEMBLFilter;0.8209;0.8865;107.98181690235002
55;BMSFilter, TiceInsecticidesFilter;0.8209;0.8868;108.02678718203185
353;NIHFilter, TiceInsecticidesFilter;0.8209;0.8868;108.02678718203185
255;LINTFilter, NIBRFilter;0.8209;0.8869;108.02950438693215
245;InpharmaticaFilter, RuleOfXuFilter;0.8209;0.8875;108.10768315509884
398;REOSFilter, RuleOfXuFilter;0.8209;0.8876;108.11456456225632
380;PAINSFilter, TiceInsecticidesFilter;0.8209;0.8879;108.15273705808602
266;LINTFilter, SureChEMBLFilter;0.8209;0.8888;108.26752358103985
452;TiceInsecticidesFilter, ZINCDruglikeFilter;0.8209;0.8892;108.31448473164559
80;BrenkFilter, RuleOfXuFilter;0.8209;0.8943;108.93324398640713
442;SureChEMBLFilter, TiceInsecticidesFilter;0.8209;0.8971;109.27438889119769
401;REOSFilter, TiceInsecticidesFilter;0.8209;0.8977;109.34482806557048
402;REOSFilter, ValenceDiscoveryFilter;0.8209;0.8979;109.37394839073971
65;BrenkFilter, InpharmaticaFilter;0.8209;0.9002;109.65557343648393
240;InpharmaticaFilter, REOSFilter;0.8209;0.9017;109.83781079508432
68;BrenkFilter, MLSMRFilter;0.8209;0.9031;110.00795872929349
95;FAF4DruglikeFilter, MLSMRFilter;0.8209;0.9034;110.03822793282
249;InpharmaticaFilter, ValenceDiscoveryFilter;0.8209;0.9047;110.19719395575103
66;BrenkFilter, LINTFilter;0.8209;0.9047;110.20161430990136
75;BrenkFilter, REOSFilter;0.8209;0.9047;110.20238195273842
84;BrenkFilter, ValenceDiscoveryFilter;0.8209;0.9049;110.22855214145333
110;FAF4DruglikeFilter, TiceInsecticidesFilter;0.8209;0.9055;110.30301643262727
