;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
512;BrenkFilter, LINTFilter;1.3651;1.4769;108.1899087193983
673;HaoFilter, ZINCDruglikeFilter;1.1495;1.2462;108.41341420677371
733;MLSMRFilter, NIBRFilter;1.296;1.4059;108.4752171307348
610;GlaxoFilter, LINTFilter;1.3161;1.4298;108.63772188591558
688;InpharmaticaFilter, SureChEMBLFilter;1.3453;1.4629;108.7351799037672
817;PAINSFilter, SureChEMBLFilter;1.2531;1.3642;108.86466381170523
458;BeyondRo5Filter, MolecularWeightFilter;1.2164;1.3251;108.9292557767626
625;GlaxoFilter, SureChEMBLFilter;1.2573;1.3702;108.98083023558304
608;GlaxoFilter, HaoFilter;1.091;1.1991;109.91506935708284
713;LipinskiFilter, MLSMRFilter;1.312;1.446;110.2133382408099
476;BMSFilter, BrenkFilter;1.3224;1.4659;110.85401974554117
517;BrenkFilter, NIHFilter;1.3224;1.4659;110.85401974554117
726;LipinskiFilter, SureChEMBLFilter;1.2356;1.3709;110.95544834278887
513;BrenkFilter, LipinskiFilter;1.3207;1.4734;111.5681788825028
470;BeyondRo5Filter, SureChEMBLFilter;1.2684;1.4155;111.59346792136691
698;LINTFilter, NIHFilter;1.28;1.4314;111.83291233256631
484;BMSFilter, LINTFilter;1.28;1.4314;111.83291233256631
696;LINTFilter, MolecularWeightFilter;1.2484;1.4065;112.66311578772736
700;LINTFilter, PAINSFilter;1.2484;1.4065;112.66311578772736
711;LINTFilter, ZINCBasicFilter;1.2704;1.4342;112.89217368589135
455;BeyondRo5Filter, LINTFilter;1.2475;1.4092;112.96121657898439
694;LINTFilter, LipinskiFilter;1.2662;1.4308;113.00079396905089
672;HaoFilter, ZINCBasicFilter;1.0782;1.2214;113.28002292044556
705;LINTFilter, RuleOfVeberFilter;1.2592;1.4306;113.60569914068294
674;InpharmaticaFilter, LINTFilter;1.266;1.4441;114.06639495903512
508;BrenkFilter, GlaxoFilter;1.2654;1.4459;114.26474020930597
519;BrenkFilter, PAINSFilter;1.2654;1.4459;114.26474020930597
515;BrenkFilter, MolecularWeightFilter;1.2505;1.4294;114.30746360168405
447;BeyondRo5Filter, BrenkFilter;1.2434;1.4228;114.42192478462785
880;SureChEMBLFilter, ZINCBasicFilter;1.1786;1.3522;114.72957420973412
707;LINTFilter, SureChEMBLFilter;1.2599;1.4459;114.7634435491707
526;BrenkFilter, SureChEMBLFilter;1.3169;1.5117;114.79629660555963
524;BrenkFilter, RuleOfVeberFilter;1.2826;1.4747;114.9774542520087
743;MLSMRFilter, SureChEMBLFilter;1.2776;1.473;115.2916643721468
530;BrenkFilter, ZINCBasicFilter;1.2486;1.4428;115.5534654077889
748;MLSMRFilter, ZINCDruglikeFilter;1.2076;1.3966;115.64838598765499
656;HaoFilter, MLSMRFilter;1.2421;1.4397;115.91456521348276
695;LINTFilter, MLSMRFilter;1.3069;1.5156;115.97088624367149
676;InpharmaticaFilter, MLSMRFilter;1.3549;1.5721;116.02510801620016
585;GhoseFilter, HaoFilter;1.016;1.1867;116.80295967940859
504;BMSFilter, ZINCDruglikeFilter;1.1703;1.3719;117.22731134257609
796;NIHFilter, ZINCDruglikeFilter;1.1703;1.3719;117.22731134257609
514;BrenkFilter, MLSMRFilter;1.3409;1.5748;117.4446256603347
865;RuleOfVeberFilter, SureChEMBLFilter;1.1803;1.3886;117.65069549990397
712;LINTFilter, ZINCDruglikeFilter;1.2754;1.5006;117.6553394555834
614;GlaxoFilter, NIBRFilter;1.2417;1.4744;118.73590940982375
881;SureChEMBLFilter, ZINCDruglikeFilter;1.1785;1.4035;119.09098770171609
594;GhoseFilter, PAINSFilter;0.9901;1.1858;119.76904853113757
531;BrenkFilter, ZINCDruglikeFilter;1.2918;1.5521;120.1474868938641
734;MLSMRFilter, NIHFilter;1.2652;1.5307;120.9792653512739
486;BMSFilter, MLSMRFilter;1.2652;1.5307;120.9792653512739
776;NIBRFilter, SureChEMBLFilter;1.2546;1.5262;121.64851429891293
615;GlaxoFilter, NIHFilter;1.1895;1.4482;121.74929595695166
480;BMSFilter, GlaxoFilter;1.1895;1.4482;121.74929595695166
462;BeyondRo5Filter, PAINSFilter;1.2049;1.4756;122.46932708103651
791;NIHFilter, SureChEMBLFilter;1.2286;1.51;122.89741664813154
499;BMSFilter, SureChEMBLFilter;1.2286;1.51;122.89741664813154
510;BrenkFilter, HaoFilter;1.3114;1.6151;123.15655278651568
668;HaoFilter, SureChEMBLFilter;1.1429;1.4114;123.49740763623886
450;BeyondRo5Filter, GhoseFilter;0.9576;1.1846;123.70650658043832
590;GhoseFilter, MolecularWeightFilter;0.9576;1.1846;123.70650658043832
588;GhoseFilter, LipinskiFilter;0.9576;1.1846;123.70650658043832
609;GlaxoFilter, InpharmaticaFilter;1.265;1.5689;124.01654686151996
693;InpharmaticaFilter, ZINCDruglikeFilter;1.2378;1.5389;124.33057633630291
697;LINTFilter, NIBRFilter;1.2338;1.5366;124.54309409562161
446;BeyondRo5Filter, BMSFilter;1.173;1.4662;124.99652061245952
460;BeyondRo5Filter, NIHFilter;1.173;1.4662;124.99652061245952
599;GhoseFilter, RuleOfVeberFilter;0.9402;1.1754;125.01774087151338
781;NIBRFilter, ZINCDruglikeFilter;1.1747;1.4706;125.18469911642597
679;InpharmaticaFilter, NIHFilter;1.2563;1.5761;125.45885336061595
483;BMSFilter, InpharmaticaFilter;1.2563;1.5761;125.45885336061595
454;BeyondRo5Filter, InpharmaticaFilter;1.2847;1.6121;125.48382806304907
752;MolecularWeightFilter, PAINSFilter;1.2063;1.5184;125.8663881839017
659;HaoFilter, NIHFilter;1.1615;1.4648;126.11268923434622
482;BMSFilter, HaoFilter;1.1615;1.4648;126.11268923434622
692;InpharmaticaFilter, ZINCBasicFilter;1.2434;1.5694;126.22061443935806
687;InpharmaticaFilter, RuleOfXuFilter;1.5252;1.9262;126.28915746899854
795;NIHFilter, ZINCBasicFilter;1.1751;1.484;126.29017068673227
503;BMSFilter, ZINCBasicFilter;1.1751;1.484;126.29017068673227
706;LINTFilter, RuleOfXuFilter;1.333;1.6857;126.4625945356882
686;InpharmaticaFilter, RuleOfVeberFilter;1.279;1.62;126.66840730105937
606;GhoseFilter, ZINCDruglikeFilter;0.9539;1.2101;126.8616371706678
750;MolecularWeightFilter, NIHFilter;1.191;1.5112;126.88327616939628
487;BMSFilter, MolecularWeightFilter;1.191;1.5112;126.88327616939628
489;BMSFilter, NIHFilter;1.191;1.5112;126.88327616939628
677;InpharmaticaFilter, MolecularWeightFilter;1.2814;1.627;126.96466382898646
