;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
114;"FAF4LeadlikeFilter;MolecularWeightFilter";79.796;-19.1705;75.9756
112;"FAF4LeadlikeFilter;LipinskiFilter";79.796;-19.1705;75.9756
127;"FAF4LeadlikeFilter;ZINCBasicFilter";79.796;-19.1705;75.9756
108;"FAF4LeadlikeFilter;GSKFilter";79.796;-19.1705;75.9756
3;"BeyondRo5Filter;FAF4LeadlikeFilter";79.796;-19.1705;75.9756
128;"FAF4LeadlikeFilter;ZINCDruglikeFilter";79.796;-19.1705;75.9756
118;"FAF4LeadlikeFilter;PAINSFilter";79.796;-19.1929;75.9475
106;"FAF4LeadlikeFilter;GhoseFilter";79.796;-19.2198;75.9139
126;"FAF4LeadlikeFilter;ValenceDiscoveryFilter";79.796;-19.2287;75.9027
386;"SureChEMBLFilter;TiceInsecticidesFilter";79.796;-19.2824;75.8354
219;"InpharmaticaFilter;OpreaFilter";79.796;-19.345;75.7569
249;"LINTFilter;ZINCDruglikeFilter";79.796;-19.3898;75.7008
207;"HaoFilter;SureChEMBLFilter";79.796;-19.4166;75.6672
352;"PfizerFilter;TiceInsecticidesFilter";79.796;-19.5061;75.5551
101;"FAF4DruglikeFilter;TiceHerbicidesFilter";79.796;-19.5553;75.4934
394;"TiceInsecticidesFilter;ValenceDiscoveryFilter";79.796;-19.7074;75.3028
88;"FAF4DruglikeFilter;LipinskiFilter";79.796;-19.7298;75.2747
29;"BMSFilter;FAF4DruglikeFilter";79.796;-19.7298;75.2747
105;"FAF4DruglikeFilter;ZINCDruglikeFilter";79.796;-19.7298;75.2747
92;"FAF4DruglikeFilter;NIHFilter";79.796;-19.7298;75.2747
2;"BeyondRo5Filter;FAF4DruglikeFilter";79.796;-19.7298;75.2747
90;"FAF4DruglikeFilter;MolecularWeightFilter";79.796;-19.7298;75.2747
91;"FAF4DruglikeFilter;NIBRFilter";79.796;-19.7298;75.2747
104;"FAF4DruglikeFilter;ZINCBasicFilter";79.796;-19.7298;75.2747
83;"FAF4DruglikeFilter;GlaxoFilter";79.796;-19.7298;75.2747
94;"FAF4DruglikeFilter;PAINSFilter";79.796;-19.7477;75.2523
299;"NIBRFilter;OpreaFilter";79.796;-19.7611;75.2355
77;"BrenkFilter;TiceInsecticidesFilter";79.796;-19.779;75.2131
103;"FAF4DruglikeFilter;ValenceDiscoveryFilter";79.796;-19.8148;75.1682
96;"FAF4DruglikeFilter;REOSFilter";79.796;-19.8729;75.0953
325;"OpreaFilter;PAINSFilter";79.796;-19.9714;74.972
328;"OpreaFilter;RuleOfVeberFilter";79.796;-19.9714;74.972
42;"BMSFilter;OpreaFilter";79.796;-19.9714;74.972
15;"BeyondRo5Filter;OpreaFilter";79.796;-19.9714;74.972
312;"NIHFilter;OpreaFilter";79.796;-19.9714;74.972
285;"MolecularWeightFilter;OpreaFilter";79.796;-19.9714;74.972
334;"OpreaFilter;ZINCBasicFilter";79.796;-19.9714;74.972
254;"LipinskiFilter;OpreaFilter";79.796;-19.9714;74.972
329;"OpreaFilter;RuleOfXuFilter";79.796;-19.9714;74.972
231;"InpharmaticaFilter;ZINCDruglikeFilter";79.796;-19.9848;74.9551
365;"RuleOfFourFilter;RuleOfVeberFilter";79.796;-20.0072;74.9271
133;"GhoseFilter;LINTFilter";79.796;-20.1235;74.7813
333;"OpreaFilter;ValenceDiscoveryFilter";79.796;-20.1951;74.6916
68;"BrenkFilter;OpreaFilter";79.796;-20.2353;74.6412
356;"REOSFilter;RuleOfFourFilter";79.796;-20.2487;74.6244
368;"RuleOfFourFilter;TiceInsecticidesFilter";79.796;-20.2487;74.6244
102;"FAF4DruglikeFilter;TiceInsecticidesFilter";79.796;-20.3561;74.4898
379;"RuleOfXuFilter;SureChEMBLFilter";79.796;-20.4009;74.4337
282;"MLSMRFilter;ZINCDruglikeFilter";79.796;-20.4724;74.344
398;"ValenceDiscoveryFilter;ZINCDruglikeFilter";79.796;-20.5664;74.2263
204;"HaoFilter;RuleOfFourFilter";79.796;-20.6961;74.0637
95;"FAF4DruglikeFilter;PfizerFilter";79.796;-20.9198;73.7834
55;"BrenkFilter;FAF4DruglikeFilter";79.796;-20.9422;73.7553
