;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
713;"LINTFilter;RuleOfThreeFilter";82.8586;-15.8972;80.8141
557;"FAF4DruglikeFilter;RuleOfTwoFilter";82.8586;-16.0421;80.6391
782;"NIBRFilter;RuleOfFourFilter";82.8586;-16.0639;80.6129
824;"PAINSFilter;RuleOfThreeFilter";82.8586;-16.1255;80.5385
872;"RuleOfTwoFilter;TiceHerbicidesFilter";82.8586;-16.3538;80.263
651;"GSKFilter;RuleOfThreeFilter";82.8586;-16.7983;79.7265
784;"NIBRFilter;RuleOfTwoFilter";82.8586;-16.9119;79.5895
556;"FAF4DruglikeFilter;RuleOfThreeFilter";82.8586;-16.9771;79.5107
783;"NIBRFilter;RuleOfThreeFilter";82.8586;-17.0061;79.4757
812;"OpreaFilter;RuleOfTwoFilter";82.8586;-17.0943;79.3693
694;"InpharmaticaFilter;RuleOfTwoFilter";82.8586;-17.0955;79.3679
473;"BeyondRo5Filter;RuleOfTwoFilter";82.8586;-17.2393;79.1944
472;"BeyondRo5Filter;RuleOfThreeFilter";82.8586;-17.2852;79.139
581;"FAF4LeadlikeFilter;RuleOfThreeFilter";82.8586;-17.4567;78.9319
840;"PfizerFilter;TiceInsecticidesFilter";82.8586;-17.708;78.6287
630;"GlaxoFilter;RuleOfTwoFilter";82.8586;-17.8227;78.4902
870;"RuleOfTwoFilter;RuleOfXuFilter";82.8586;-17.83;78.4815
875;"RuleOfTwoFilter;ZINCDruglikeFilter";82.8586;-18.4871;77.6884
673;"HaoFilter;RuleOfTwoFilter";82.8586;-18.7021;77.4289
579;"FAF4LeadlikeFilter;PfizerFilter";82.8586;-18.7335;77.3909
733;"LipinskiFilter;RuleOfTwoFilter";82.8586;-19.5477;76.4083
864;"RuleOfThreeFilter;TiceHerbicidesFilter";82.8586;-19.6214;76.3194
811;"OpreaFilter;RuleOfThreeFilter";82.8586;-19.8509;76.0424
858;"RuleOfFourFilter;ZINCBasicFilter";82.8586;-20.1469;75.6852
860;"RuleOfThreeFilter;RuleOfTwoFilter";82.8586;-20.1578;75.6721
869;"RuleOfTwoFilter;RuleOfVeberFilter";82.8586;-20.2182;75.5992
652;"GSKFilter;RuleOfTwoFilter";82.8586;-20.4042;75.3747
