;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
1047;"LINTFilter;ValenceDiscoveryFilter";59.4958;-7.0531;88.1453
1183;"RuleOfXuFilter;ZINCBasicFilter";59.4958;-7.062;88.1302
1182;"RuleOfXuFilter;ValenceDiscoveryFilter";59.4958;-7.1179;88.0362
1096;"MolecularWeightFilter;ZINCBasicFilter";59.4958;-7.1671;87.9535
1145;"PAINSFilter;ZINCBasicFilter";59.4958;-7.1671;87.9535
1123;"NIHFilter;ZINCBasicFilter";59.4958;-7.1671;87.9535
853;"BMSFilter;ZINCBasicFilter";59.4958;-7.1671;87.9535
1069;"MLSMRFilter;NIHFilter";59.4958;-7.2029;87.8934
1067;"MLSMRFilter;MolecularWeightFilter";59.4958;-7.2029;87.8934
1068;"MLSMRFilter;NIBRFilter";59.4958;-7.2029;87.8934
1071;"MLSMRFilter;PAINSFilter";59.4958;-7.2029;87.8934
1081;"MLSMRFilter;ZINCBasicFilter";59.4958;-7.2029;87.8934
1075;"MLSMRFilter;RuleOfVeberFilter";59.4958;-7.2029;87.8934
811;"BeyondRo5Filter;MLSMRFilter";59.4958;-7.2029;87.8934
956;"GlaxoFilter;MLSMRFilter";59.4958;-7.2029;87.8934
838;"BMSFilter;MLSMRFilter";59.4958;-7.2029;87.8934
1082;"MLSMRFilter;ZINCDruglikeFilter";59.4958;-7.2029;87.8934
1029;"InpharmaticaFilter;ValenceDiscoveryFilter";59.4958;-7.2275;87.852
1109;"NIBRFilter;ValenceDiscoveryFilter";59.4958;-7.2275;87.852
1027;"InpharmaticaFilter;TiceHerbicidesFilter";59.4958;-7.2477;87.8182
1197;"ValenceDiscoveryFilter;ZINCBasicFilter";59.4958;-7.2924;87.743
1179;"RuleOfXuFilter;SureChEMBLFilter";59.4958;-7.3618;87.6264
1015;"InpharmaticaFilter;MLSMRFilter";59.4958;-7.3774;87.6001
1050;"LipinskiFilter;MLSMRFilter";59.4958;-7.3774;87.6001
1077;"MLSMRFilter;SureChEMBLFilter";59.4958;-7.487;87.4159
1076;"MLSMRFilter;RuleOfXuFilter";59.4958;-7.487;87.4159
864;"BrenkFilter;MLSMRFilter";59.4958;-7.487;87.4159
1065;"LipinskiFilter;ZINCBasicFilter";59.4958;-7.5161;87.367
1146;"PAINSFilter;ZINCDruglikeFilter";59.4958;-7.5765;87.2655
1199;"ZINCBasicFilter;ZINCDruglikeFilter";59.4958;-7.5765;87.2655
1185;"SureChEMBLFilter;TiceHerbicidesFilter";59.4958;-7.5966;87.2316
1030;"InpharmaticaFilter;ZINCBasicFilter";59.4958;-7.6705;87.1076
969;"GlaxoFilter;TiceInsecticidesFilter";59.4958;-7.7152;87.0324
1011;"HaoFilter;ZINCBasicFilter";59.4958;-7.7264;87.0136
995;"HaoFilter;LipinskiFilter";59.4958;-7.7264;87.0136
997;"HaoFilter;MolecularWeightFilter";59.4958;-7.7264;87.0136
998;"HaoFilter;NIBRFilter";59.4958;-7.7264;87.0136
999;"HaoFilter;NIHFilter";59.4958;-7.7264;87.0136
1001;"HaoFilter;PAINSFilter";59.4958;-7.7264;87.0136
807;"BeyondRo5Filter;HaoFilter";59.4958;-7.7264;87.0136
1005;"HaoFilter;RuleOfVeberFilter";59.4958;-7.7264;87.0136
834;"BMSFilter;HaoFilter";59.4958;-7.7264;87.0136
1022;"InpharmaticaFilter;REOSFilter";59.4958;-7.7957;86.897
854;"BMSFilter;ZINCDruglikeFilter";59.4958;-7.8606;86.788
827;"BeyondRo5Filter;ZINCDruglikeFilter";59.4958;-7.8606;86.788
1124;"NIHFilter;ZINCDruglikeFilter";59.4958;-7.8606;86.788
972;"GlaxoFilter;ZINCDruglikeFilter";59.4958;-7.8606;86.788
1111;"NIBRFilter;ZINCDruglikeFilter";59.4958;-7.8606;86.788
1097;"MolecularWeightFilter;ZINCDruglikeFilter";59.4958;-7.8606;86.788
1066;"LipinskiFilter;ZINCDruglikeFilter";59.4958;-7.8606;86.788
876;"BrenkFilter;TiceHerbicidesFilter";59.4958;-7.8807;86.7541
1161;"REOSFilter;TiceInsecticidesFilter";59.4958;-7.9255;86.6789
1108;"NIBRFilter;TiceInsecticidesFilter";59.4958;-7.997;86.5586
993;"HaoFilter;InpharmaticaFilter";59.4958;-8.0105;86.5361
964;"GlaxoFilter;RuleOfFourFilter";59.4958;-8.0105;86.5361
1195;"TiceInsecticidesFilter;ZINCBasicFilter";59.4958;-8.0351;86.4947
1158;"REOSFilter;RuleOfXuFilter";59.4958;-8.0597;86.4534
818;"BeyondRo5Filter;REOSFilter";59.4958;-8.0597;86.4534
1057;"LipinskiFilter;REOSFilter";59.4958;-8.0597;86.4534
1163;"REOSFilter;ZINCBasicFilter";59.4958;-8.0597;86.4534
1088;"MolecularWeightFilter;REOSFilter";59.4958;-8.0597;86.4534
1102;"NIBRFilter;REOSFilter";59.4958;-8.0597;86.4534
1115;"NIHFilter;REOSFilter";59.4958;-8.0597;86.4534
1157;"REOSFilter;RuleOfVeberFilter";59.4958;-8.0597;86.4534
1137;"PAINSFilter;REOSFilter";59.4958;-8.0597;86.4534
845;"BMSFilter;REOSFilter";59.4958;-8.0597;86.4534
1099;"NIBRFilter;OpreaFilter";59.4958;-8.1648;86.2766
1181;"RuleOfXuFilter;TiceInsecticidesFilter";59.4958;-8.1693;86.2691
968;"GlaxoFilter;TiceHerbicidesFilter";59.4958;-8.2297;86.1676
1191;"TiceHerbicidesFilter;ValenceDiscoveryFilter";59.4958;-8.2297;86.1676
994;"HaoFilter;LINTFilter";59.4958;-8.2297;86.1676
1168;"RuleOfFourFilter;TiceInsecticidesFilter";59.4958;-8.2297;86.1676
1156;"REOSFilter;RuleOfFourFilter";59.4958;-8.2297;86.1676
889;"FAF4DruglikeFilter;MLSMRFilter";59.4958;-8.2946;86.0586
1080;"MLSMRFilter;ValenceDiscoveryFilter";59.4958;-8.2946;86.0586
1178;"RuleOfVeberFilter;ZINCDruglikeFilter";59.4958;-8.299;86.0511
1186;"SureChEMBLFilter;TiceInsecticidesFilter";59.4958;-8.3326;85.9947
1130;"OpreaFilter;SureChEMBLFilter";59.4958;-8.3393;85.9834
1198;"ValenceDiscoveryFilter;ZINCDruglikeFilter";59.4958;-8.3393;85.9834
1064;"LipinskiFilter;ValenceDiscoveryFilter";59.4958;-8.3639;85.942
1012;"HaoFilter;ZINCDruglikeFilter";59.4958;-8.384;85.9082
824;"BeyondRo5Filter;TiceInsecticidesFilter";59.4958;-8.4288;85.833
851;"BMSFilter;TiceInsecticidesFilter";59.4958;-8.4288;85.833
1063;"LipinskiFilter;TiceInsecticidesFilter";59.4958;-8.4288;85.833
1175;"RuleOfVeberFilter;TiceInsecticidesFilter";59.4958;-8.4288;85.833
1121;"NIHFilter;TiceInsecticidesFilter";59.4958;-8.4288;85.833
1094;"MolecularWeightFilter;TiceInsecticidesFilter";59.4958;-8.4288;85.833
1143;"PAINSFilter;TiceInsecticidesFilter";59.4958;-8.4288;85.833
883;"FAF4DruglikeFilter;GlaxoFilter";59.4958;-8.4489;85.7992
888;"FAF4DruglikeFilter;LipinskiFilter";59.4958;-8.4489;85.7992
904;"FAF4DruglikeFilter;ZINCBasicFilter";59.4958;-8.4489;85.7992
903;"FAF4DruglikeFilter;ValenceDiscoveryFilter";59.4958;-8.4489;85.7992
802;"BeyondRo5Filter;FAF4DruglikeFilter";59.4958;-8.4489;85.7992
890;"FAF4DruglikeFilter;MolecularWeightFilter";59.4958;-8.4489;85.7992
892;"FAF4DruglikeFilter;NIHFilter";59.4958;-8.4489;85.7992
894;"FAF4DruglikeFilter;PAINSFilter";59.4958;-8.4489;85.7992
891;"FAF4DruglikeFilter;NIBRFilter";59.4958;-8.4489;85.7992
905;"FAF4DruglikeFilter;ZINCDruglikeFilter";59.4958;-8.4489;85.7992
1135;"OpreaFilter;ZINCDruglikeFilter";59.4958;-8.4489;85.7992
829;"BMSFilter;FAF4DruglikeFilter";59.4958;-8.4489;85.7992
860;"BrenkFilter;HaoFilter";59.4958;-8.469;85.7653
1049;"LINTFilter;ZINCDruglikeFilter";59.4958;-8.5585;85.6149
1000;"HaoFilter;OpreaFilter";59.4958;-8.5787;85.5811
1073;"MLSMRFilter;REOSFilter";59.4958;-8.5787;85.5811
1006;"HaoFilter;RuleOfXuFilter";59.4958;-8.5787;85.5811
960;"GlaxoFilter;OpreaFilter";59.4958;-8.6234;85.5059
1189;"SureChEMBLFilter;ZINCDruglikeFilter";59.4958;-8.7129;85.3555
885;"FAF4DruglikeFilter;HaoFilter";59.4958;-8.733;85.3217
1162;"REOSFilter;ValenceDiscoveryFilter";59.4958;-8.7777;85.2465
996;"HaoFilter;MLSMRFilter";59.4958;-8.7979;85.2126
