Dataset,Model,Filter type,Metric,Baseline value,After filter application,Improvement (%),Filter metric R2,Filter metric Accuracy,Baseline metric R2,Baseline metric Accuracy,Mixed metric R2,Mixed metric Accuracy,Mixed metric roc_auc,Rest metric R2,Rest metric Accuracy,Rest metric roc_auc,Notes
bace,GradientBoostingClassifier,PAINSFilter,ROC-AUC,0.40284119736174534,0.4162006834420628,103.3163158,-0.753028891,0.5681818181818182,-0.863013699,0.5367647058823529,-0.90244256,0.5269607843137255,0.433814114,-1.087542088,0.48333333333333334,0.5953984287317621,None
bace,GradientBoostingClassifier,PfizerFilter,ROC-AUC,0.40284119736174534,0.5150316455696203,127.84979514077096,-1.195411392,0.5495495495495496,-0.863013699,0.5367647058823529,-0.734869899,0.5686274509803921,0.5978352782005749,-2.401613342,0.6255892255892256,0.5376391486696933,None
bace,GradientBoostingClassifier,REOSFilter,ROC-AUC,0.40284119736174534,0.47477330853289934,117.85619535495525,-0.573064404,0.6523297491039427,-0.863013699,0.5367647058823529,-0.774298761,0.5588235294117647,0.6247855814065859,-0.491624651,0.6558139534883721,0.7184570190424601,None
bace,GradientBoostingClassifier,RuleOfFourFilter,ROC-AUC,0.40284119736174534,0.5333333333333333,132.39294710327454,-1.133333333,0.5,-0.863013699,0.5367647058823529,-0.892585345,0.5294117647058824,0.472192022,-0.369535608,0.7558563248308173,0.533221859,None
bace,GradientBoostingClassifier,RuleOfThreeFilter,ROC-AUC,0.40284119736174534,0.5607142857142857,139.18990644116587,-0.907142857,0.898876404,-0.863013699,0.5367647058823529,-0.833442053,0.5441176470588235,0.6172114710927497,-0.506802408,0.6976160602258469,0.5252141135493134,None
bace,GradientBoostingClassifier,RuleOfTwoFilter,ROC-AUC,0.40284119736174534,0.3291666666666667,81.71127204030228,-0.133333333,0.8823529411764706,-0.863013699,0.5367647058823529,-0.75458433,0.5637254901960784,0.6243869440216472,-0.445810705,0.732620321,0.6112122233630639,None
bace,GradientBoostingClassifier,RuleOfVeberFilter,ROC-AUC,0.40284119736174534,0.3725100296528868,92.47068872113852,-0.540694226,0.6629834254143646,-0.863013699,0.5367647058823529,-0.833442053,0.5441176470588235,0.4682781280954797,-3.030638853,0.2925764192139738,0.5440026075619296,None
bace,GradientBoostingClassifier,RuleOfXuFilter,ROC-AUC,0.40284119736174534,0.49267241379310345,122.29941153478676,-0.802298851,0.56462585,-0.863013699,0.5367647058823529,-0.715155469,0.5735294117647058,0.6358145490565582,-0.093420295,0.7719298245614035,0.7667591376588117,None
bace,GradientBoostingClassifier,SureChEMBLFilter,ROC-AUC,0.40284119736174534,0.5492822966507177,136.35206633483182,-0.857735247,0.5357142857142857,-0.863013699,0.5367647058823529,-0.774298761,0.5588235294117647,0.4647145514725423,-0.430555556,0.7162534435261708,0.5123010407101316,None
bace,GradientBoostingClassifier,TiceHerbicidesFilter,ROC-AUC,0.40284119736174534,0.5461607949412827,135.57719481476929,-0.646612466,0.6129032258064516,-0.863013699,0.5367647058823529,-0.823584837,0.5465686274509803,0.48759392138387575,-0.328710823,0.7377220480668757,0.5166249958513569,None
bace,GradientBoostingClassifier,TiceInsecticidesFilter,ROC-AUC,0.40284119736174534,0.5068577648766328,125.82073735161754,-0.306603774,0.7653429602888087,-0.863013699,0.5367647058823529,-0.577154454,0.6078431372549019,0.6405377980720447,-0.510956166,0.6246200607902735,0.6928089992097802,None
bace,GradientBoostingClassifier,ValenceDiscoveryFilter,ROC-AUC,0.40284119736174534,0.501717033,124.54461863703045,-1.302655678,0.4308510638297872,-0.863013699,0.5367647058823529,-0.843299268,0.5416666666666666,0.5956608924645455,-0.398719325,0.7670609645131938,0.5748095891500618,None
bace,GradientBoostingClassifier,ZINCBasicFilter,ROC-AUC,0.40284119736174534,0.38399119589141606,95.32073641082884,-0.650476889,0.6105263157894737,-0.863013699,0.5367647058823529,-0.725012684,0.571078431,0.5013891908869077,-1.043220711,0.5179856115107914,0.5547389205792014,None
bace,GradientBoostingClassifier,ZINCDruglikeFilter,ROC-AUC,0.40284119736174534,0.4757681788931789,118.10315876554856,-0.598536036,0.6437125748502994,-0.863013699,0.5367647058823529,-0.803870407,0.5514705882352942,0.5292092483873305,-1.147866572,0.46756756756756757,0.5481052569542668,None
bace,GaussianNB,BeyondRo5Filter,ROC-AUC,0.45791355608707207,0.4651100804946959,101.57159016411721,-0.948851218,0.5217391304347826,-1.079872436,0.48284313725490197,-1.030586359,0.4950980392156863,0.46444879321591653,-4.638888889,0.19540229885057472,0.5138888888888888,None
bace,GaussianNB,BMSFilter,ROC-AUC,0.45791355608707207,0.4770173453996983,104.17192045500256,-0.684426848,0.6158357771260997,-1.079872436,0.48284313725490197,-0.971443067,0.5098039215686274,0.47524824237153007,-1.355069149,0.41420118343195267,0.445859873,None
bace,GaussianNB,BrenkFilter,ROC-AUC,0.45791355608707207,0.4993918832415824,109.05811295672217,-0.765266931,0.5691699604743083,-1.079872436,0.48284313725490197,-0.912299775,0.5245098039215687,0.49039646299920275,-0.580570085,0.6709677419354839,0.4863317177727658,None
bace,GaussianNB,FAF4DruglikeFilter,ROC-AUC,0.45791355608707207,0.49652687781867194,108.43244783176009,-0.58934218,0.6404109589041096,-1.079872436,0.48284313725490197,-0.932014206,0.5196078431372549,0.48510545770819746,-0.89400886,0.5613126079447323,0.4435980321450649,None
bace,GaussianNB,FAF4LeadlikeFilter,ROC-AUC,0.45791355608707207,0.4957983193277311,108.27334389581932,-0.37733142,0.7375,-1.079872436,0.48284313725490197,-0.872870914,0.5343137254901961,0.4977168949771689,-0.48461999,0.6887096774193548,0.4929140599071337,None
bace,GaussianNB,GhoseFilter,ROC-AUC,0.45791355608707207,0.5014556613423558,109.50880459346004,-0.416319144,0.712,-1.079872436,0.48284313725490197,-0.912299775,0.5245098039215687,0.4885844748858447,-0.729025534,0.6012658227848101,0.4733541775230155,None
bace,GaussianNB,GlaxoFilter,ROC-AUC,0.45791355608707207,0.4817603393425239,105.20770414818585,-0.67203959,0.6203966005665722,-1.079872436,0.48284313725490197,-0.971443067,0.5098039215686274,0.47597303761687326,-1.551081602,0.37906137184115524,0.45138145213107733,None
bace,GaussianNB,GSKFilter,ROC-AUC,0.45791355608707207,0.5043859649122806,110.14872964721137,-0.463450292,0.6882591093117408,-1.079872436,0.48284313725490197,-0.892585345,0.5294117647058824,0.4935130825541785,-0.543413843,0.6600496277915633,0.49174633791792466,None
bace,GaussianNB,HaoFilter,ROC-AUC,0.45791355608707207,0.4943798449612403,107.96357486897247,-0.385658915,0.7636363636363637,-1.079872436,0.48284313725490197,-0.882728129,0.5318627450980392,0.4957961875770095,-0.971328182,0.5075301204819277,0.4941348973607038,None
