;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
101;"FAF4DruglikeFilter;PfizerFilter";83.622;-11.5991;86.1291
196;"GSKFilter;PAINSFilter";83.622;-11.6281;86.0944
74;"BrenkFilter;PfizerFilter";83.622;-11.7731;85.9211
229;"HaoFilter;ZINCDruglikeFilter";83.622;-11.8093;85.8777
191;"GSKFilter;MLSMRFilter";83.622;-11.8673;85.8084
91;"FAF4DruglikeFilter;HaoFilter";83.622;-11.8673;85.8084
241;"InpharmaticaFilter;RuleOfThreeFilter";83.622;-11.9422;85.7188
217;"HaoFilter;PAINSFilter";83.622;-12.0727;85.5628
95;"FAF4DruglikeFilter;MLSMRFilter";83.622;-12.0944;85.5368
352;"NIHFilter;TiceInsecticidesFilter";83.622;-12.3795;85.1959
55;"BMSFilter;TiceInsecticidesFilter";83.622;-12.3795;85.1959
189;"GSKFilter;LINTFilter";83.622;-12.5196;85.0283
118;"FAF4LeadlikeFilter;InpharmaticaFilter";83.622;-12.5341;85.011
139;"GhoseFilter;GlaxoFilter";83.622;-12.6549;84.8665
121;"FAF4LeadlikeFilter;MLSMRFilter";83.622;-12.6622;84.8579
108;"FAF4DruglikeFilter;SureChEMBLFilter";83.622;-12.6839;84.8319
407;"RuleOfFourFilter;ZINCDruglikeFilter";83.622;-12.7081;84.803
402;"RuleOfFourFilter;RuleOfXuFilter";83.622;-12.7588;84.7423
303;"MLSMRFilter;TiceHerbicidesFilter";83.622;-13.1719;84.2482
208;"GSKFilter;ZINCDruglikeFilter";83.622;-13.4015;83.9738
293;"MLSMRFilter;OpreaFilter";83.622;-13.4643;83.8986
60;"BrenkFilter;FAF4LeadlikeFilter";83.622;-13.5054;83.8495
351;"NIHFilter;TiceHerbicidesFilter";83.622;-13.5658;83.7773
54;"BMSFilter;TiceHerbicidesFilter";83.622;-13.5658;83.7773
148;"GhoseFilter;NIHFilter";83.622;-13.7518;83.5548
33;"BMSFilter;GhoseFilter";83.622;-13.7518;83.5548
349;"NIHFilter;RuleOfXuFilter";83.622;-13.8822;83.3988
52;"BMSFilter;RuleOfXuFilter";83.622;-13.8822;83.3988
240;"InpharmaticaFilter;RuleOfFourFilter";83.622;-14.0731;83.1706
136;"FAF4LeadlikeFilter;ValenceDiscoveryFilter";83.622;-14.1939;83.0261
185;"GlaxoFilter;ZINCBasicFilter";83.622;-14.2398;82.9712
220;"HaoFilter;RuleOfThreeFilter";83.622;-14.2857;82.9163
90;"FAF4DruglikeFilter;GSKFilter";83.622;-14.4452;82.7256
242;"InpharmaticaFilter;RuleOfTwoFilter";83.622;-14.5974;82.5436
167;"GlaxoFilter;LipinskiFilter";83.622;-14.6167;82.5205
114;"FAF4LeadlikeFilter;GhoseFilter";83.622;-14.7109;82.4078
119;"FAF4LeadlikeFilter;LINTFilter";83.622;-14.9549;82.116
135;"FAF4LeadlikeFilter;TiceInsecticidesFilter";83.622;-15.2956;81.7087
177;"GlaxoFilter;RuleOfThreeFilter";83.622;-15.4816;81.4862
180;"GlaxoFilter;RuleOfXuFilter";83.622;-15.6266;81.3128
133;"FAF4LeadlikeFilter;SureChEMBLFilter";83.622;-15.7256;81.1944
164;"GlaxoFilter;HaoFilter";83.622;-15.9286;80.9517
418;"RuleOfTwoFilter;RuleOfXuFilter";83.622;-15.9358;80.943
115;"FAF4LeadlikeFilter;GlaxoFilter";83.622;-16.2233;80.5992
47;"BMSFilter;REOSFilter";83.622;-16.2282;80.5934
344;"NIHFilter;REOSFilter";83.622;-16.2282;80.5934
274;"LipinskiFilter;NIHFilter";83.622;-16.3465;80.4519
39;"BMSFilter;LipinskiFilter";83.622;-16.3465;80.4519
417;"RuleOfTwoFilter;RuleOfVeberFilter";83.622;-16.349;80.449
221;"HaoFilter;RuleOfTwoFilter";83.622;-16.349;80.449
281;"LipinskiFilter;RuleOfTwoFilter";83.622;-16.349;80.449
200;"GSKFilter;RuleOfTwoFilter";83.622;-16.349;80.449
316;"MolecularWeightFilter;RuleOfTwoFilter";83.622;-16.349;80.449
354;"NIHFilter;ZINCBasicFilter";83.622;-16.4094;80.3767
57;"BMSFilter;ZINCBasicFilter";83.622;-16.4094;80.3767
373;"PAINSFilter;RuleOfTwoFilter";83.622;-16.419;80.3652
422;"RuleOfTwoFilter;ZINCBasicFilter";83.622;-16.5471;80.2121
175;"GlaxoFilter;REOSFilter";83.622;-16.6244;80.1196
179;"GlaxoFilter;RuleOfVeberFilter";83.622;-16.7186;80.0069
117;"FAF4LeadlikeFilter;HaoFilter";83.622;-16.808;79.9
184;"GlaxoFilter;ValenceDiscoveryFilter";83.622;-16.8297;79.874
331;"NIBRFilter;RuleOfThreeFilter";83.622;-16.8756;79.8191
163;"GlaxoFilter;GSKFilter";83.622;-17.1414;79.5013
408;"RuleOfThreeFilter;RuleOfTwoFilter";83.622;-17.2308;79.3944
131;"FAF4LeadlikeFilter;RuleOfVeberFilter";83.622;-17.4144;79.1749
87;"FAF4DruglikeFilter;FAF4LeadlikeFilter";83.622;-17.4144;79.1749
120;"FAF4LeadlikeFilter;LipinskiFilter";83.622;-17.4144;79.1749
138;"FAF4LeadlikeFilter;ZINCDruglikeFilter";83.622;-17.4144;79.1749
122;"FAF4LeadlikeFilter;MolecularWeightFilter";83.622;-17.4144;79.1749
116;"FAF4LeadlikeFilter;GSKFilter";83.622;-17.4144;79.1749
137;"FAF4LeadlikeFilter;ZINCBasicFilter";83.622;-17.5159;79.0535
3;"BeyondRo5Filter;FAF4LeadlikeFilter";83.622;-17.5231;79.0448
56;"BMSFilter;ValenceDiscoveryFilter";83.622;-17.5908;78.9639
353;"NIHFilter;ValenceDiscoveryFilter";83.622;-17.5908;78.9639
178;"GlaxoFilter;RuleOfTwoFilter";83.622;-17.6488;78.8946
124;"FAF4LeadlikeFilter;NIHFilter";83.622;-17.7696;78.7501
32;"BMSFilter;FAF4LeadlikeFilter";83.622;-17.7696;78.7501
346;"NIHFilter;RuleOfThreeFilter";83.622;-17.8396;78.6664
49;"BMSFilter;RuleOfThreeFilter";83.622;-17.8396;78.6664
132;"FAF4LeadlikeFilter;RuleOfXuFilter";83.622;-17.8928;78.6028
123;"FAF4LeadlikeFilter;NIBRFilter";83.622;-18.0353;78.4323
199;"GSKFilter;RuleOfThreeFilter";83.622;-18.0498;78.415
315;"MolecularWeightFilter;RuleOfThreeFilter";83.622;-18.0498;78.415
280;"LipinskiFilter;RuleOfThreeFilter";83.622;-18.0498;78.415
409;"RuleOfThreeFilter;RuleOfVeberFilter";83.622;-18.0498;78.415
372;"PAINSFilter;RuleOfThreeFilter";83.622;-18.1271;78.3225
415;"RuleOfThreeFilter;ZINCBasicFilter";83.622;-18.3156;78.0972
360;"OpreaFilter;RuleOfTwoFilter";83.622;-18.5209;77.8516
134;"FAF4LeadlikeFilter;TiceHerbicidesFilter";83.622;-18.5741;77.7881
125;"FAF4LeadlikeFilter;OpreaFilter";83.622;-18.5886;77.7707
126;"FAF4LeadlikeFilter;PAINSFilter";83.622;-18.8229;77.4905
332;"NIBRFilter;RuleOfTwoFilter";83.622;-18.8302;77.4818
76;"BrenkFilter;RuleOfFourFilter";83.622;-19.0452;77.2247
348;"NIHFilter;RuleOfVeberFilter";83.622;-19.1104;77.1467
51;"BMSFilter;RuleOfVeberFilter";83.622;-19.1104;77.1467
347;"NIHFilter;RuleOfTwoFilter";83.622;-19.1153;77.1409
