Dataset,Model,Filters,Metric,Baseline value,After filter application,Improvement (%),Filter metric R2,Filter metric Accuracy,Baseline metric R2,Baseline metric Accuracy,Mixed metric R2,Mixed metric Accuracy,Mixed metric roc_auc,Rest metric R2,Rest metric Accuracy,Rest metric roc_auc,Notes
bace,LogisticRegression,BMSFilter;GSKFilter,ROC-AUC,0.7979599141016465,0.725925925925926,90.97273097273097,-0.523232323232323,0.6282051282051282,-0.19291338582677198,0.7095709570957096,-1.3722709377236941,0.42244224422442245,0.5251879026485327,-0.7396248763553652,0.5652173913043478,0.6050947889693236,None
bace,LogisticRegression,BMSFilter;HaoFilter,ROC-AUC,0.7979599141016465,0.7851851851851851,98.39907635826,-0.46296296296296346,0.6835443037974683,-0.19291338582677198,0.7095709570957096,-0.992707587687903,0.5148514851485149,0.615336435218325,-0.6876472739414563,0.5784313725490197,0.6061898780468415,None
bace,LogisticRegression,BMSFilter;InpharmaticaFilter,ROC-AUC,0.7979599141016465,0.7808991965354151,97.86195806772594,-0.29238133226964513,0.6888888888888889,-0.19291338582677198,0.7095709570957096,-0.20646921975662158,0.7062706270627063,0.7895490336435218,-0.09665653495440729,0.7317073170731707,0.7867021276595744,None
bace,LogisticRegression,BMSFilter;LINTFilter,ROC-AUC,0.7979599141016465,0.7672747896776634,96.15455314462396,-0.6012855657434537,0.65,-0.19291338582677198,0.7095709570957096,-0.38269506084466753,0.6633663366336634,0.7684770937723694,-0.10592975007237282,0.7312348668280871,0.7842082408568948,None
bace,LogisticRegression,BMSFilter;LipinskiFilter,ROC-AUC,0.7979599141016465,0.7842543929500451,98.28242986779215,-0.25444603705473234,0.6942446043165468,-0.19291338582677198,0.7095709570957096,-0.233580887616321,0.6996699669966997,0.7792591267000716,-0.424476570289132,0.6456692913385826,0.698654037886341,None
bace,LogisticRegression,BMSFilter;MLSMRFilter,ROC-AUC,0.7979599141016465,0.7912234042553192,99.15578342630015,-0.3656914893617027,0.6708860759493671,-0.19291338582677198,0.7095709570957096,-1.11471009305655,0.48514851485148514,0.557444523979957,-0.8848514569050341,0.5295169946332737,0.6025154088020077,None
bace,LogisticRegression,BMSFilter;MolecularWeightFilter,ROC-AUC,0.7979599141016465,0.8029207104925837,100.62168491214527,-0.1634773850943052,0.7157190635451505,-0.19291338582677198,0.7095709570957096,-0.19291338582677198,0.7095709570957096,0.7970651395848246,-0.6874999999999998,0.8333333333333334,0.90625,None
bace,LogisticRegression,BMSFilter;NIBRFilter,ROC-AUC,0.7979599141016465,0.8068500000000001,101.1141018165508,-0.08299999999999996,0.7333333333333333,-0.19291338582677198,0.7095709570957096,-0.16580171796707255,0.7161716171617162,0.782525053686471,-0.12487360970677419,0.7191011235955056,0.7431749241658241,None
bace,LogisticRegression,BMSFilter;NIHFilter,ROC-AUC,0.7979599141016465,0.7998540412333516,100.23737121354492,-0.2041598248494798,0.7066666666666667,-0.19291338582677198,0.7095709570957096,-0.20646921975662158,0.7062706270627063,0.7980493915533285,-0.0714285714285714,0.9333333333333333,0.9285714285714286,None
bace,LogisticRegression,BMSFilter;OpreaFilter,ROC-AUC,0.7979599141016465,0.8533834586466166,106.9456552347453,0.022556390977443663,0.8076923076923077,-0.19291338582677198,0.7095709570957096,-1.033375089477452,0.504950495049505,0.5982462419470292,-0.6890689008539161,0.5777331995987964,0.6157817643318766,None
bace,LogisticRegression,BMSFilter;PAINSFilter,ROC-AUC,0.7979599141016465,0.7993852647031837,100.17862433642948,-0.20708321864391221,0.705685618729097,-0.19291338582677198,0.7095709570957096,-0.20646921975662158,0.7062706270627063,0.7986757337151038,0.20000000000000018,0.8888888888888888,0.8888888888888891,None
bace,LogisticRegression,BMSFilter;PfizerFilter,ROC-AUC,0.7979599141016465,0.7858333333333333,98.48030201091423,-0.8725000000000007,0.6074766355140186,-0.19291338582677198,0.7095709570957096,-0.3420275590551183,0.6732673267326733,0.7835987831066572,0.07805414608654593,0.7726809378185525,0.8217241786213988,None
bace,LogisticRegression,BMSFilter;REOSFilter,ROC-AUC,0.7979599141016465,0.7044745057232049,88.28444803725654,-0.29032258064516125,0.6903225806451613,-0.19291338582677198,0.7095709570957096,-0.6944792412312102,0.5874587458745875,0.6781943450250538,-0.5637908564107474,0.6121621621621621,0.6889537666315688,None
bace,LogisticRegression,BMSFilter;RuleOfFourFilter,ROC-AUC,0.7979599141016465,0.4424242424242424,55.44441952605217,-1.072727272727274,0.7631578947368421,-0.19291338582677198,0.7095709570957096,-0.4640300644237656,0.6435643564356436,0.634126700071582,-0.710816670126156,0.5787490580256217,0.644093498466293,None
bace,LogisticRegression,BMSFilter;RuleOfVeberFilter,ROC-AUC,0.7979599141016465,0.7822554697554698,98.03192565583235,-0.20181788931788924,0.6995515695067265,-0.19291338582677198,0.7095709570957096,-0.4504742304939158,0.6468646864686468,0.7505368647100931,-0.5123394863563404,0.6268656716417911,0.7280923956661316,None
