;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
427;"RuleOfVeberFilter;SureChEMBLFilter";91.032;-9.1103;89.9922
175;"GlaxoFilter;REOSFilter";91.032;-9.1578;89.9401
429;"RuleOfVeberFilter;TiceInsecticidesFilter";91.032;-9.1578;89.9401
22;"BeyondRo5Filter;RuleOfVeberFilter";91.032;-9.2527;89.8358
327;"NIBRFilter;OpreaFilter";91.032;-9.395;89.6794
353;"NIHFilter;TiceInsecticidesFilter";91.032;-9.4187;89.6534
55;"BMSFilter;TiceInsecticidesFilter";91.032;-9.4187;89.6534
401;"REOSFilter;ZINCBasicFilter";91.032;-9.5374;89.5231
156;"GhoseFilter;RuleOfXuFilter";91.032;-9.5374;89.5231
207;"GSKFilter;ZINCBasicFilter";91.032;-9.6797;89.3667
314;"MolecularWeightFilter;REOSFilter";91.032;-9.7034;89.3406
380;"PAINSFilter;TiceInsecticidesFilter";91.032;-9.7034;89.3406
235;"InpharmaticaFilter;NIBRFilter";91.032;-9.7746;89.2624
395;"REOSFilter;RuleOfVeberFilter";91.032;-9.8221;89.2103
18;"BeyondRo5Filter;REOSFilter";91.032;-9.9407;89.08
367;"OpreaFilter;TiceInsecticidesFilter";91.032;-9.9407;89.08
279;"LipinskiFilter;REOSFilter";91.032;-10.0119;89.0018
376;"PAINSFilter;RuleOfVeberFilter";91.032;-10.1779;88.8194
37;"BMSFilter;InpharmaticaFilter";91.032;-10.3203;88.663
236;"InpharmaticaFilter;NIHFilter";91.032;-10.3203;88.663
203;"GSKFilter;SureChEMBLFilter";91.032;-10.344;88.637
250;"InpharmaticaFilter;ZINCBasicFilter";91.032;-10.5101;88.4545
210;"HaoFilter;LINTFilter";91.032;-10.5338;88.4285
275;"LipinskiFilter;NIHFilter";91.032;-10.5338;88.4285
39;"BMSFilter;LipinskiFilter";91.032;-10.5338;88.4285
66;"BrenkFilter;LINTFilter";91.032;-10.6524;88.2981
338;"NIBRFilter;TiceInsecticidesFilter";91.032;-10.6524;88.2981
267;"LINTFilter;TiceHerbicidesFilter";91.032;-10.7473;88.1939
237;"InpharmaticaFilter;OpreaFilter";91.032;-10.7473;88.1939
193;"GSKFilter;NIBRFilter";91.032;-10.7711;88.1678
75;"BrenkFilter;REOSFilter";91.032;-10.9134;88.0115
139;"GhoseFilter;GlaxoFilter";91.032;-11.0083;87.9072
6;"BeyondRo5Filter;GSKFilter";91.032;-11.1507;87.7508
216;"HaoFilter;OpreaFilter";91.032;-11.4828;87.386
