Dataset,Model,Filters,Metric,Baseline value,After filter application,Improvement (%),Filter metric R2,Filter metric Accuracy,Baseline metric R2,Baseline metric Accuracy,Mixed metric R2,Mixed metric Accuracy,Mixed metric roc_auc,Rest metric R2,Rest metric Accuracy,Rest metric roc_auc,Notes
bbbp,LogisticRegression,LINTFilter,ROC-AUC,0.8362204343939504,0.8191137566137566,97.9542860857506,-0.04166666666666674,0.7407407407407407,0.024135681669927966,0.7573529411764706,0.08327897368993242,0.7720588235294118,0.8353989997825615,0.0499956354748603,0.8176555716353111,0.8509951117318436,None
bbbp,LogisticRegression,LipinskiFilter,ROC-AUC,0.8362204343939504,0.8066485323886641,96.46362361059515,-0.055636386639676294,0.7626666666666667,0.024135681669927966,0.7573529411764706,-0.18286584040008735,0.7058823529411765,0.8111666787465874,-1.156295830714435,0.6265060240963856,0.7551854179761156,None
bbbp,LogisticRegression,MLSMRFilter,ROC-AUC,0.8362204343939504,0.7950883575883576,95.08119209794206,-0.09147609147609126,0.79,0.024135681669927966,0.7573529411764706,-0.4490106544901069,0.6397058823529411,0.7403300234350463,-0.4668813986321405,0.6785370548604427,0.6842975136743683,None
bbbp,LogisticRegression,MolecularWeightFilter,ROC-AUC,0.8362204343939504,0.8330913297073808,99.62580384813994,0.020795904806438115,0.7586206896551724,0.024135681669927966,0.7573529411764706,0.024135681669927966,0.7573529411764706,0.8360754753448817,0.40000000000000013,0.9166666666666666,0.65,None
bbbp,LogisticRegression,NIBRFilter,ROC-AUC,0.8362204343939504,0.8241678449956051,98.55868274648414,-0.015324645545916393,0.7530487804878049,0.024135681669927966,0.7573529411764706,0.03399289700659536,0.7598039215686274,0.8253485057138026,0.35730718954248375,0.8486352357320099,0.8527581699346406,None
bbbp,LogisticRegression,NIHFilter,ROC-AUC,0.8362204343939504,0.7962292609351432,95.21762781511184,-0.0800904977375565,0.7536656891495601,0.024135681669927966,0.7573529411764706,-0.38001014713343517,0.6568627450980392,0.7621463603198764,-0.7960375831368551,0.5532544378698225,0.6881796107963543,None
bbbp,LogisticRegression,OpreaFilter,ROC-AUC,0.8362204343939504,0.8113250028143645,97.0228625664202,-0.1023302938196553,0.7647058823529411,0.024135681669927966,0.7573529411764706,-0.17300862506341996,0.7083333333333334,0.8114082771617018,0.09456714902259444,0.8076545632973503,0.8452312951075328,None
bbbp,LogisticRegression,PAINSFilter,ROC-AUC,0.8362204343939504,0.8363622242932588,100.01695604334412,0.056849953401677644,0.7676767676767676,0.024135681669927966,0.7573529411764706,0.024135681669927966,0.7573529411764706,0.8293107197216787,-0.2794612794612794,0.6833333333333333,0.803030303030303,None
bbbp,LogisticRegression,PfizerFilter,ROC-AUC,0.8362204343939504,0.6056170886075949,72.42313912676805,-0.8880537974683549,0.6126126126126126,0.024135681669927966,0.7573529411764706,-0.05472204102341105,0.7377450980392157,0.7532072189606436,-0.20524789268557941,0.8673400673400673,0.6787447574631478,None
bbbp,LogisticRegression,REOSFilter,ROC-AUC,0.8362204343939504,0.8198093466635666,98.03746870377812,0.026970471983259636,0.7849462365591398,0.024135681669927966,0.7573529411764706,-0.16315140972675257,0.7107843137254902,0.7993766760890049,0.05933580565856911,0.7829457364341085,0.8257271136297346,None
bbbp,LogisticRegression,RuleOfFourFilter,ROC-AUC,0.8362204343939504,0.6814814814814815,81.49543510921066,-0.9555555555555555,0.5416666666666666,0.024135681669927966,0.7573529411764706,-0.350438501123433,0.6642156862745098,0.8124713101882051,-0.065843277342859,0.8099947943779282,0.8167317777608877,None
bbbp,LogisticRegression,RuleOfThreeFilter,ROC-AUC,0.8362204343939504,0.469047619047619,56.091384490927986,-0.6952380952380952,0.9101123595505618,0.024135681669927966,0.7573529411764706,-0.5377255925201134,0.6176470588235294,0.6557222584619844,-0.3661258342436553,0.7258469259723965,0.610474158303801,None
