;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
578;"FAF4LeadlikeFilter;NIHFilter";94.5433;-38.5291;59.2472
713;"LINTFilter;PfizerFilter";94.5433;-38.7426;59.0213
473;"BeyondRo5Filter;RuleOfFourFilter";94.5433;-38.7663;58.9962
674;"HaoFilter;RuleOfFourFilter";94.5433;-38.8256;58.9335
549;"FAF4DruglikeFilter;MLSMRFilter";94.5433;-39.5374;58.1807
632;"GlaxoFilter;RuleOfTwoFilter";94.5433;-39.656;58.0552
684;"HaoFilter;ZINCDruglikeFilter";94.5433;-39.7272;57.9799
608;"GhoseFilter;RuleOfTwoFilter";94.5433;-39.7865;57.9172
581;"FAF4LeadlikeFilter;PfizerFilter";94.5433;-39.9763;57.7164
715;"LINTFilter;RuleOfFourFilter";94.5433;-40.1661;57.5157
528;"BrenkFilter;PfizerFilter";94.5433;-40.261;57.4153
753;"MLSMRFilter;RuleOfThreeFilter";94.5433;-40.3677;57.3024
518;"BrenkFilter;HaoFilter";94.5433;-40.4626;57.202
531;"BrenkFilter;RuleOfThreeFilter";94.5433;-40.7236;56.926
754;"MLSMRFilter;RuleOfTwoFilter";94.5433;-40.7592;56.8883
486;"BMSFilter;FAF4LeadlikeFilter";94.5433;-40.7829;56.8632
626;"GlaxoFilter;OpreaFilter";94.5433;-40.9015;56.7378
695;"InpharmaticaFilter;RuleOfFourFilter";94.5433;-41.3998;56.2108
587;"FAF4LeadlikeFilter;SureChEMBLFilter";94.5433;-41.4235;56.1857
569;"FAF4LeadlikeFilter;GlaxoFilter";94.5433;-41.6845;55.9097
645;"GSKFilter;MLSMRFilter";94.5433;-41.7556;55.8344
575;"FAF4LeadlikeFilter;MLSMRFilter";94.5433;-42.4911;55.0565
515;"BrenkFilter;GhoseFilter";94.5433;-43.0249;54.4918
769;"MolecularWeightFilter;RuleOfFourFilter";94.5433;-43.2266;54.2785
717;"LINTFilter;RuleOfTwoFilter";94.5433;-43.5469;53.9398
750;"MLSMRFilter;PfizerFilter";94.5433;-43.5943;53.8896
