Dataset,Model,Filters,Baseline RMSE,Filtered RMSE,Mixed RMSE,Rest RMSE,Improvement (%)
esol,SVM,ZINCDruglikeFilter,2.3186604419047514,2.127397727755338,2.346982068588531,2.995017323145739,8.24884535453123
esol,Gradient Boosting Regressor,BeyondRo5Filter,2.227964517851766,2.3157174618213583,2.3130266904237002,3.2598932608140014,-3.9387047354867644
esol,Gradient Boosting Regressor,BMSFilter,2.227964517851766,2.16014769166975,2.3693011345277624,2.7317633610133183,3.0438916615873945
esol,Gradient Boosting Regressor,BrenkFilter,2.227964517851766,2.190039890283009,2.5211518796283143,2.3094194194279405,1.7022096745653803
esol,Gradient Boosting Regressor,FAF4DruglikeFilter,2.227964517851766,1.641518651504951,2.279235860706092,2.649230695415862,26.322046946792234
esol,Gradient Boosting Regressor,FAF4LeadlikeFilter,2.227964517851766,1.313620148627951,2.309039564930912,2.4831253625781353,41.039449322354486
esol,Gradient Boosting Regressor,GhoseFilter,2.227964517851766,1.3004410646694184,2.1930034998780084,2.61485890159456,41.630979566796626
esol,Gradient Boosting Regressor,GlaxoFilter,2.227964517851766,2.3269112144283133,2.4680288379957,2.2189070869364995,-4.441125331383322
esol,Gradient Boosting Regressor,GSKFilter,2.227964517851766,1.5952439499792146,2.5206007734257874,4.0162401480780545,28.399041492933165
esol,Gradient Boosting Regressor,HaoFilter,2.227964517851766,1.956693978886388,2.3867811569632584,4.080047034784176,12.175711811916145
esol,Gradient Boosting Regressor,InpharmaticaFilter,2.227964517851766,2.079618277284424,2.4077828138272,2.548475543644939,6.658375363642666
esol,Gradient Boosting Regressor,LINTFilter,2.227964517851766,2.1835078809774378,2.6698088683280026,2.7336520227027346,1.9953924992124117
esol,Gradient Boosting Regressor,LipinskiFilter,2.227964517851766,2.276528294135971,2.3659264625323284,3.2083813221822726,-2.17973741929387
esol,Gradient Boosting Regressor,MLSMRFilter,2.227964517851766,1.9160130415415753,2.4606473233184056,2.394735879575107,14.001635744674179
esol,Gradient Boosting Regressor,NIBRFilter,2.227964517851766,1.8505497942572127,2.392802382616291,2.7058336984608142,16.939889328150603
esol,Gradient Boosting Regressor,NIHFilter,2.227964517851766,2.1850241803828316,2.4062971477857387,2.7249013158332445,1.9273348890824327
esol,Gradient Boosting Regressor,OpreaFilter,2.227964517851766,1.5551373191624782,2.128190508367437,2.348093063520984,30.199188241024455
esol,Gradient Boosting Regressor,PAINSFilter,2.227964517851766,2.3251094178420537,2.2758016688941685,1.8134681906682713,-4.36025346058726
esol,Gradient Boosting Regressor,PfizerFilter,2.227964517851766,1.3801939781000228,2.5682522618581753,2.3126175462451855,38.05134834773649
esol,Gradient Boosting Regressor,REOSFilter,2.227964517851766,1.4668263150777316,2.111393331148223,2.5470748322716865,34.162940956884455
esol,Gradient Boosting Regressor,RuleOfFourFilter,2.227964517851766,0.4077273345948713,2.1155460595397444,2.4090956319543566,81.69955888758913
esol,Gradient Boosting Regressor,RuleOfThreeFilter,2.227964517851766,1.5463092791274107,3.0145678932383246,3.3723891253301224,30.59542615075471
esol,Gradient Boosting Regressor,RuleOfTwoFilter,2.227964517851766,1.0953465886827105,3.683776856774388,3.611866545547187,50.836443762629635
esol,Gradient Boosting Regressor,RuleOfVeberFilter,2.227964517851766,2.220804823662787,2.321822251431921,3.280734381969039,0.32135584438671705
esol,Gradient Boosting Regressor,RuleOfXuFilter,2.227964517851766,1.768509127518709,2.2431710766635535,2.4716938563107522,20.62220410835224
esol,Gradient Boosting Regressor,SureChEMBLFilter,2.227964517851766,2.051020833206565,2.420104108104039,2.461419484268656,7.941943564514775
esol,Gradient Boosting Regressor,TiceHerbicidesFilter,2.227964517851766,1.0590103541314286,2.3147994700297776,2.5217053852914804,52.467359976067264
